Method;Size;Pattern;Mean (ns);OnlySort (ns);Ratio;;;;;;
NoSort;4;Asc;9,197;;;;;;;;
ArraySort;4;Asc;34,932;25,735;3,084621839;;;;;;
NetworkSort;4;Asc;17,54;8,343;1;;;;;;
NoSort;4;Desc;10,197;;;;;;;;
ArraySort;4;Desc;40,525;30,328;3,53020603;;;;;;
NetworkSort;4;Desc;18,788;8,591;1;;;;;;
NoSort;4;Rand;13,267;;;;;;;;
ArraySort;4;Rand;54,718;41,451;4,557058047;;;;;;
NetworkSort;4;Rand;22,363;9,096;1;;;;;;
NoSort;8;Asc;17,591;;;;;;;;
ArraySort;8;Asc;57,123;39,532;4,326110746;;;;;;
NetworkSort;8;Asc;26,729;9,138;1;;;;;;
NoSort;8;Desc;22,368;;;;;;;;
ArraySort;8;Desc;82,407;60,039;10,20377294;;;;;;
NetworkSort;8;Desc;28,252;5,884;1;;;;;;
NoSort;8;Rand;23,726;;;;;;;;
ArraySort;8;Rand;101,007;77,281;6,388971561;;;;;;
NetworkSort;8;Rand;35,822;12,096;1;;;;;;
NoSort;16;Asc;35,836;;;;;;;;
ArraySort;16;Asc;92,05;56,214;4,597906102;;;;;;
NetworkSort;16;Asc;48,062;12,226;1;;;;;;
NoSort;16;Desc;34,743;;;;;;;;
ArraySort;16;Desc;218,171;183,428;12,24976626;;;;;;
NetworkSort;16;Desc;49,717;14,974;1;;;;;;
NoSort;16;Rand;44,974;;;;;;;;
ArraySort;16;Rand;223,987;179,013;7,861791831;;;;;;
NetworkSort;16;Rand;67,744;22,77;1;;;;;;
NoSort;32;Asc;66,193;;;;;;;;
ArraySort;32;Asc;160,966;94,773;3,808591866;;;;;;
NetworkSort;32;Asc;91,077;24,884;1;;;;;;
NoSort;32;Desc;87,786;;;;;;;;
ArraySort;32;Desc;205,57;117,784;4,844685752;;;;;;
NetworkSort;32;Desc;112,098;24,312;1;;;;;;
NoSort;32;Rand;88,008;;;;;;;;
ArraySort;32;Rand;673,462;585,454;11,42706016;;;;;;
NetworkSort;32;Rand;139,242;51,234;1;;;;;;
